episode,reward
8903278,-0.235
8914795,-0.175
8926257,-0.12
8937696,-0.145
8949167,-0.115
8960676,-0.205
8972143,-0.125
8983656,-0.155
8995179,-0.185
9006622,-0.25
9018164,0.01
9029690,-0.18
9041232,-0.12
9053040,-0.085
9065409,-0.05
9077527,-0.215
9089286,-0.105
9101499,-0.075
9114026,-0.135
9126408,-0.2
9138758,-0.115
9150977,-0.115
9163396,-0.075
9175168,-0.1
9187688,-0.115
9200096,-0.08
9212146,-0.225
9224147,-0.215
9236535,-0.075
9248285,-0.26
9260728,-0.185
9272626,-0.07
9285046,-0.06
9296939,-0.09
9309001,-0.14
9321086,-0.215
9333194,-0.2
9345619,-0.15
9357336,-0.12
9369341,-0.18
