episode,reward
4565765,-0.76
4631779,-0.76
4697631,-0.7625
4763500,-0.7875
4829210,-0.8225
4895199,-0.83
4960851,-0.7825
5026625,-0.775
5092406,-0.76
5158580,-0.7375
5224472,-0.75
5290208,-0.75
5356147,-0.7725
5422221,-0.7575
5487940,-0.7575
5553773,-0.85
5619791,-0.7775
5685512,-0.765
5751344,-0.8075
5817142,-0.7775
5883220,-0.8425
5949121,-0.8
6014793,-0.7475
6080352,-0.8025
6146053,-0.835
6211901,-0.7275
6277822,-0.8
6343724,-0.775
6409706,-0.78
6475604,-0.745
6541752,-0.775
6607535,-0.7775
6673421,-0.7775
6739264,-0.8
6805162,-0.745
6871008,-0.77
6937073,-0.7775
7003039,-0.83
7069116,-0.795
7134992,-0.7725
