episode,reward
6,-0.328
2572,-0.178
5154,-0.118
7677,-0.108
10205,-0.012
12822,-0.106
15415,-0.112
18056,-0.04
20659,-0.11
23352,-0.118
25979,-0.008
28610,-0.098
31199,-0.082
33824,-0.058
36453,-0.074
39064,-0.092
41669,-0.006
44337,-0.074
46957,-0.108
49590,-0.042
52179,-0.044
54758,-0.15
57406,-0.03
60024,-0.114
62662,-0.086
65249,-0.094
67861,-0.094
70491,-0.038
73079,-0.114
75769,-0.056
78355,-0.112
81012,-0.072
83618,-0.072
86247,-0.054
88847,-0.086
91545,-0.046
94245,-0.092
96861,-0.012
99560,-0.066
102203,0.012
104889,-0.008
107543,0.02
110194,-0.112
112799,-0.07
115404,0.034
118103,-0.062
120785,-0.058
123488,-0.09
126171,-0.026
128770,-0.072
131378,-0.064
133976,-0.102
136589,-0.09
139235,-0.01
141820,-0.098
144473,-0.094
147105,-0.076
149739,-0.086
152282,-0.03
154914,-0.05
157615,-0.076
160261,-0.028
162918,-0.008
165551,-0.01
168226,0.028
170912,-0.064
173540,-0.086
176176,-0.116
178839,-0.148
181502,-0.018
184138,-0.11
186811,-0.034
189481,-0.05
192067,-0.078
194741,-0.032
197346,-0.072
199950,-0.056
202566,-0.038
205182,-0.04
207800,-0.11
210394,0.008
213038,-0.044
215726,0.02
218306,-0.024
220894,-0.078
223514,0.016
226098,-0.06
228773,-0.026
231401,-0.152
234069,-0.01
236739,-0.018
239351,-0.07
242019,-0.014
244640,0.016
247256,-0.088
249841,-0.03
252536,-0.058
255249,-0.094
257991,-0.028
260632,-0.096
263301,-0.098
265915,-0.084
268607,-0.072
271243,-0.092
273837,-0.03
276484,-0.038
279150,0.006
281755,0.032
284436,-0.088
287113,-0.03
289787,-0.094
292429,-0.064
295087,-0.1
297836,-0.018
300501,-0.076
303123,-0.11
305782,-0.062
308468,-0.108
311136,-0.15
313774,-0.084
316443,-0.066
319104,-0.044
321787,-0.094
324538,-0.092
327226,-0.046
329968,-0.072
332605,-0.102
335259,-0.126
337903,-0.044
340550,-0.1
343260,-0.032
345961,0.008
348573,-0.106
351239,-0.086
353985,-0.11
356687,-0.062
359285,-0.052
361922,-0.014
364703,-0.082
367298,-0.096
369959,-0.126
372594,-0.016
375315,-0.09
378058,-0.106
380689,-0.098
383282,-0.07
385979,-0.048
388587,-0.096
391265,-0.13
393840,-0.004
396462,-0.128
399186,-0.08
401876,-0.02
404548,-0.06
407117,-0.13
409756,-0.064
412427,-0.026
415107,-0.08
417764,-0.058
420351,-0.062
422907,-0.034
425545,-0.016
428179,0.038
430844,0.022
433477,-0.044
436109,-0.084
438737,0.016
441447,-0.07
444074,-0.124
446674,-0.054
449285,-0.074
451961,-0.06
454568,-0.016
457205,-0.068
459840,-0.06
462461,-0.03
465175,-0.09
467843,-0.102
470499,-0.054
473158,-0.046
475746,-0.074
478402,-0.044
481081,-0.028
483747,-0.122
486404,-0.118
489104,-0.072
491706,0.002
494374,-0.13
497008,-0.02
499615,-0.086
502254,-0.08
504876,0.018
507524,-0.016
510184,-0.052
512899,-0.01
515535,-0.136
518160,-0.09
520897,-0.018
523517,-0.072
526097,0.05
