episode,reward
17562285,-0.51
17579134,-0.58
17595952,-0.73
17613065,-0.64
17629987,-0.67
17646980,-0.545
17663938,-0.68
17680813,-0.55
17697856,-0.525
17714818,-0.585
17731842,-0.415
17744171,0.0
17757743,-0.11
17771534,0.05
17785355,-0.145
17799044,-0.05
17813062,-0.165
17827029,-0.08
17841043,-0.15
17855443,0.03
17869688,-0.12
17883528,0.05
17897508,-0.02
17911479,-0.145
17925402,-0.02
17939517,-0.14
17953554,-0.065
17967814,-0.12
17982112,-0.095
17996332,-0.13
18010489,-0.05
18024883,-0.025
18039169,-0.09
18053436,-0.06
18067394,-0.07
18081561,-0.025
18096169,-0.04
18110646,0.025
18125013,-0.12
18139394,0.05
