episode,reward
2798135,-0.585
2862303,-0.66
2926108,-0.6525
2981710,-0.27
3029952,-0.2125
3076013,-0.2875
3121133,-0.1875
3166013,-0.275
3210394,-0.325
3254315,-0.1825
3298095,-0.2625
3341649,-0.185
3384798,-0.215
3427741,-0.2425
3470411,-0.1375
3512889,-0.235
3555261,-0.215
3597939,-0.165
3640457,-0.225
3682977,-0.1825
3725420,-0.1025
3767816,-0.27
3810068,-0.185
3852303,-0.1475
3894431,-0.2375
3936461,-0.1575
3978417,-0.1375
4020394,-0.155
4062506,-0.2725
4104667,-0.1125
4146494,-0.185
4188586,-0.155
4230619,-0.2375
4272619,-0.19
4314565,-0.12
4356561,-0.1775
4398243,-0.1375
4440195,-0.195
4482065,-0.1125
4523944,-0.2375
