episode,reward
5731799,-0.17
5758549,-0.355
5785485,-0.1975
5812825,-0.2175
5839657,-0.2075
5866669,-0.115
5893639,-0.0475
5920743,-0.2125
5947833,-0.095
5975181,-0.15
6002207,-0.0325
6028943,-0.16
6055689,-0.055
6082461,-0.09
6109358,-0.1325
6136328,-0.3175
6163781,-0.23
6190977,-0.1325
6217942,-0.2475
6244778,0.01
6271756,-0.4175
6299037,-0.185
6333922,1.0
6378800,1.5425
6423509,1.545
6468703,1.4325
6514389,1.3775
6559845,1.675
6606676,1.71
6653057,2.0175
6699580,2.04
6746647,1.9275
6793263,2.0775
6839574,1.6625
6886286,1.575
6933494,1.8825
6980236,2.12
7028389,1.67
7076135,1.9625
7123257,2.01
