episode,reward
3895975,0.2025
3915447,-0.0675
3934830,0.225
3954551,0.0425
3974233,0.04
3993402,-0.02
4012903,0.1375
4032104,0.4075
4051586,0.0525
4071018,-0.095
4090250,-0.085
4109691,0.42
4129146,-0.0075
4148611,0.1275
4168039,0.03
4187201,0.055
4206572,0.2625
4225785,-0.025
4245269,-0.195
4265269,-0.195
4284592,0.1325
4303961,0.0725
4323290,0.2125
4342503,0.24
4362153,0.185
4381592,0.245
4400769,-0.0875
4420187,-0.0375
4439880,-0.1825
4459358,0.2225
4478563,-0.0225
4498109,0.055
4517415,0.05
4536785,0.1725
4556558,0.105
4576127,-0.375
4595529,0.0725
4614976,0.1325
4634411,0.04
4653865,-0.215
