# _tick,_time,frames,mean_episode_return_0,loss_0
0,1718027701.675324,0,-0.18042226135730743,0.9569966197013855
1,1718027701.9400592,1050,-0.307025283575058,125.4773178100586
2,1718027702.3029916,2100,-0.3234001100063324,1.745189905166626
3,1718027702.6566377,3150,-0.2870212197303772,2.800586700439453
4,1718027703.0230849,4200,-0.28212982416152954,0.991403341293335
5,1718027703.3739076,5250,-0.27876436710357666,0.8993200063705444
6,1718027703.741623,6300,-0.2664530277252197,0.979099452495575
7,1718027704.1096938,7350,-0.2434541881084442,0.9202099442481995
8,1718027704.4776943,8400,-0.26001742482185364,0.8906258344650269
9,1718027704.8440988,9450,-0.2844829857349396,0.7415072321891785
10,1718027705.3170497,10500,-0.2789362967014313,1.2261396646499634
11,1718027705.6890144,11550,-0.27650395035743713,0.9338608384132385
12,1718027706.0559723,12600,-0.26784855127334595,0.9355404376983643
13,1718027706.4420502,13650,-0.2591675817966461,0.9041917324066162
14,1718027706.823169,14700,-0.25239697098731995,0.9019380807876587
15,1718027707.1993349,15750,-0.25171974301338196,0.878635823726654
16,1718027707.5644648,16800,-0.24534545838832855,0.8956718444824219
17,1718027707.9802198,17850,-0.2394312024116516,0.9066702127456665
18,1718027708.3402476,18900,-0.2352118045091629,0.8912540078163147
19,1718027708.691793,19950,-0.23456232249736786,0.8477527499198914
20,1718027709.105671,21000,-0.2298835813999176,0.8742022514343262
21,1718027709.45681,22050,-0.2282610386610031,0.8968353867530823
22,1718027709.8272898,23100,-0.22358129918575287,0.9060940146446228
23,1718027710.221714,24150,-0.22001425921916962,0.8842330574989319
24,1718027710.6231651,25200,-0.2151113748550415,0.8940181136131287
25,1718027711.0074887,26250,-0.21164554357528687,0.8535942435264587
26,1718027711.4027338,27300,-0.20752502977848053,0.829813539981842
27,1718027711.8186116,28350,-0.20483192801475525,0.9034768342971802
28,1718027712.2067137,29400,-0.2027757316827774,0.8605210781097412
29,1718027712.603744,30450,-0.19822178781032562,0.8795490860939026
30,1718027712.996715,31500,-0.1950952261686325,0.8378283977508545
31,1718027713.39199,32550,-0.19215145707130432,0.8531191349029541
32,1718027713.8007352,33600,-0.18982939422130585,0.850970447063446
33,1718027714.2152133,34650,-0.18695367872714996,0.885886549949646
34,1718027714.6194985,35700,-0.1833350658416748,0.8429895639419556
35,1718027715.0498283,36750,-0.17963653802871704,0.8546597957611084
36,1718027715.4615831,37800,-0.17873500287532806,0.8705185055732727
37,1718027715.8724692,38850,-0.17633673548698425,0.8604142665863037
38,1718027716.35897,39900,-0.1744052767753601,0.878695011138916
39,1718027716.7897868,40950,-0.17323532700538635,0.8264802098274231
40,1718027717.2087429,42000,-0.17171327769756317,0.7986209988594055
41,1718027717.640122,43050,-0.17053425312042236,0.8267555236816406
42,1718027718.0500493,44100,-0.16836918890476227,0.9472001791000366
43,1718027718.4675465,45150,-0.16778089106082916,0.9199336767196655
44,1718027718.8781497,46200,-0.16598479449748993,0.8811217546463013
45,1718027719.2796848,47250,-0.16548201441764832,0.871163547039032
46,1718027719.7034101,48300,-0.16415326297283173,0.854637086391449
47,1718027720.1869586,49350,-0.1627221554517746,0.8418475985527039
48,1718027720.5993786,50400,-0.1606273204088211,0.8538755774497986
49,1718027721.0558279,51450,-0.159357488155365,0.911672830581665
50,1718027721.509275,52500,-0.15772497653961182,0.8673529028892517
51,1718027721.9102106,53550,-0.15741780400276184,0.8167916536331177
52,1718027722.3395207,54600,-0.15678302943706512,0.8586775660514832
53,1718027722.79379,55650,-0.154974564909935,0.8253589868545532
54,1718027723.2330282,56700,-0.1542469710111618,0.847529411315918
55,1718027723.7099466,57750,-0.15372470021247864,0.801186740398407
56,1718027724.1604872,58800,-0.15279075503349304,0.8294647336006165
57,1718027724.618426,59850,-0.15156668424606323,0.9204512238502502
58,1718027725.038179,60900,-0.15192672610282898,0.8720008730888367
59,1718027725.4520605,61950,-0.15109094977378845,0.8520472645759583
60,1718027725.8901935,63000,-0.14916802942752838,0.8132488131523132
61,1718027726.3191109,64050,-0.14817413687705994,0.8801848888397217
62,1718027726.756219,65100,-0.1467534303665161,0.8692017793655396
63,1718027727.175496,66150,-0.14609786868095398,0.8305407762527466
64,1718027727.6308126,67200,-0.14606663584709167,0.8181418180465698
65,1718027728.0865908,68250,-0.14538568258285522,0.8183308839797974
66,1718027728.5090027,69300,-0.1449144333600998,0.8192224502563477
67,1718027728.98385,70350,-0.14430275559425354,0.7985525727272034
68,1718027729.4041584,71400,-0.1450158804655075,0.840265154838562
69,1718027729.824971,72450,-0.14382365345954895,1.1358219385147095
70,1718027730.2782786,73500,-0.1444575935602188,0.9184886813163757
71,1718027730.8577304,74550,-0.14560838043689728,0.888548731803894
72,1718027731.3175323,75600,-0.1464085876941681,0.8285424709320068
73,1718027731.7942498,76650,-0.14710423350334167,0.7432219386100769
74,1718027732.228822,77700,-0.14802642166614532,0.9048733711242676
75,1718027732.6855423,78750,-0.1482848972082138,0.9228947162628174
76,1718027733.1651719,79800,-0.14882904291152954,0.8920270800590515
77,1718027733.6291182,80850,-0.14896148443222046,0.8892247080802917
78,1718027734.0885582,81900,-0.14924238622188568,0.8354023098945618
79,1718027734.5380344,82950,-0.14982667565345764,0.8283675909042358
80,1718027735.0406864,84000,-0.15092657506465912,0.886447548866272
81,1718027735.5278525,85050,-0.15170863270759583,0.8519458770751953
82,1718027735.9868472,86100,-0.15263600647449493,0.791857123374939
83,1718027736.4524386,87150,-0.15287187695503235,0.8004928231239319
84,1718027736.901278,88200,-0.1533571183681488,0.8117879629135132
85,1718027737.3745933,89250,-0.15329350531101227,0.875211238861084
86,1718027737.8403153,90300,-0.15352806448936462,0.8332914710044861
87,1718027738.373458,91350,-0.15378671884536743,0.8309631943702698
88,1718027739.0262477,92400,-0.1537272334098816,0.8204855918884277
89,1718027739.466457,93450,-0.15326006710529327,0.8156369924545288
90,1718027739.9135113,94500,-0.15298357605934143,0.8163155317306519
91,1718027740.3237298,95550,-0.15251131355762482,0.8091864585876465
92,1718027740.7585812,96600,-0.15210603177547455,0.8215742111206055
93,1718027741.221394,97650,-0.15119710564613342,0.8788790702819824
94,1718027741.6613717,98700,-0.15141597390174866,0.9143530130386353
95,1718027742.1676846,99750,-0.15013857185840607,0.8998157978057861
96,1718027742.6392734,100800,-0.14944176375865936,0.8747803568840027
97,1718027743.128132,101850,-0.1490267962217331,0.8485392928123474
98,1718027743.6061654,102900,-0.14801950752735138,0.8782418370246887
99,1718027744.0705166,103950,-0.14834538102149963,0.8989452123641968
100,1718027744.527437,105000,-0.14801698923110962,0.8457834720611572
101,1718027744.9838412,106050,-0.14447557926177979,0.8432364463806152
102,1718027745.4558353,107100,-0.1424715667963028,0.8110408782958984
103,1718027745.9199784,108150,-0.14107228815555573,0.8538854122161865
104,1718027746.4050934,109200,-0.13994231820106506,0.9110173583030701
105,1718027746.869202,110250,-0.1383775919675827,0.8556584715843201
106,1718027747.3406734,111300,-0.13783924281597137,0.8374024033546448
107,1718027747.8107376,112350,-0.1382201910018921,0.799980103969574
108,1718027748.292992,113400,-0.13559316098690033,0.796197772026062
109,1718027748.7735634,114450,-0.131257101893425,0.8152318596839905
110,1718027749.252209,115500,-0.12996119260787964,0.835107684135437
111,1718027749.7387116,116550,-0.12841133773326874,0.8380553722381592
112,1718027750.2416089,117600,-0.12804514169692993,0.823164165019989
113,1718027750.7330573,118650,-0.1278269737958908,0.8509790301322937
114,1718027751.193727,119700,-0.12711702287197113,0.8251835107803345
115,1718027751.671212,120750,-0.12587712705135345,0.796537458896637
116,1718027752.1781125,121800,-0.12546473741531372,0.8067442774772644
117,1718027752.6879077,122850,-0.12438707053661346,0.8359081745147705
118,1718027753.1904135,123900,-0.12400047481060028,0.9175499677658081
119,1718027753.7140772,124950,-0.12253475189208984,0.8940795660018921
120,1718027754.1976917,126000,-0.1227015033364296,0.8383346796035767
121,1718027754.707154,127050,-0.12183060497045517,0.8257102370262146
122,1718027755.2284412,128100,-0.1216370016336441,0.825623095035553
123,1718027755.7413275,129150,-0.12153768539428711,0.7728623151779175
124,1718027756.2386987,130200,-0.12187940627336502,0.855587363243103
125,1718027756.7086444,131250,-0.12209755182266235,0.834003746509552
126,1718027757.1736367,132300,-0.12225642055273056,0.8602461218833923
127,1718027757.6610594,133350,-0.12191478908061981,0.8654531240463257
128,1718027758.156895,134400,-0.12180319428443909,0.8606016039848328
129,1718027758.6764832,135450,-0.12246017158031464,0.8451164960861206
