episode,reward
66797743,-4.04
66831374,-3.905
66864909,-3.99
66898207,-4.795
66931513,-3.945
66964853,-3.88
66998063,-3.995
67047442,34.745
67105893,27.485
67158816,25.195
67210081,21.1
67261632,28.715
67314346,14.825
67367032,21.64
67419496,23.78
67473117,20.43
67526716,22.94
67581532,15.395
67636316,23.3
67691532,25.6
67746651,26.455
67801358,19.33
67856883,23.455
67912906,23.56
67968843,26.795
68023498,21.43
68078226,22.8
68131467,23.615
68184925,21.95
68238271,25.275
68291089,22.945
68344268,22.625
68397588,22.29
68450930,24.89
68503904,22.46
68557101,23.73
68609977,21.75
68661739,20.585
68713523,13.04
68766624,21.9
